# Datacard for <Channel (ggFpt500toInf) instance at 0x7fb7c4692ac0> generated on 2025-03-25 07:36:04.568064
imax 1 # number of categories ('bins' but here we are using shape templates)
jmax 11 # number of samples minus 1
kmax 141 # number of nuisance parameters
shapes * ggFpt500toInf testModel.root testModel:ggFpt500toInf_$PROCESS testModel:ggFpt500toInf_$PROCESS_$SYSTEMATIC
bin ggFpt500toInf
observation 162.000
bin                                                            ggFpt500toInf  ggFpt500toInf  ggFpt500toInf  ggFpt500toInf  ggFpt500toInf  ggFpt500toInf  ggFpt500toInf  ggFpt500toInf  ggFpt500toInf  ggFpt500toInf  ggFpt500toInf  ggFpt500toInf
process                                                              ggH_hww        qqH_hww         WH_hww         ZH_hww        ttH_hww          ttbar          wjets      singletop          zjets        diboson       ewkvjets           fake
process                                                                   -4             -3             -2             -1              0              1              2              3              4              5              6              7
rate                                                                   5.672          2.280          0.740          0.393          0.154         36.760        106.668          4.143          1.067         17.564          9.515          0.404
BR_hww lnN                                                     0.9848/1.0153  0.9848/1.0153  0.9848/1.0153  0.9848/1.0153  0.9848/1.0153              -              -              -              -              -              -              -
CMS_HWW_boosted_EW_unc lnN                                                 -  0.8001/1.2517  0.8095/1.2407  0.8115/1.2388  0.8362/1.2089              -              -              -              -              -              -              -
CMS_HWW_boosted_FakeRate_EWK_SF_statistical_uncertainty shape              -              -              -              -              -              -              -              -              -              -              -         1.0000
CMS_HWW_boosted_FakeRate_statistical_uncertainty shape                     -              -              -              -              -              -              -              -              -              -              -         1.0000
CMS_HWW_boosted_Fake_SF_uncertainty lnN                                    -              -              -              -              -              -              -              -              -              -              -         1.2500
CMS_scale_j_Abs lnN                                            1.0512/1.0681  1.0550/1.0663  1.0500/1.0662  1.0469/1.0656  1.0015/1.0427  0.9875/1.0014         1.0054         1.0097         1.0082         1.0033         0.9967              -
CMS_scale_j_Abs_2016 lnN                                              1.0630         1.0550         1.0580         1.0561         1.0522         1.0060         1.0017         1.0097         1.0082         1.0033         0.9967              -
CMS_scale_j_Abs_2016APV lnN                                           1.0659  1.0455/1.0601         1.0618         1.0606         1.0543         1.0122  0.9933/1.0069         1.0097         1.0082         1.0033         0.9967              -
CMS_scale_j_Abs_2017 lnN                                              1.0571         1.0550         1.0600         1.0585         1.0522         1.0019         1.0009         1.0097  1.0082/1.0211         1.0033         0.9967              -
CMS_scale_j_Abs_2018 lnN                                              1.0568         1.0550         1.0614         1.0581  1.0015/1.0522         1.0050         1.0020         1.0097         1.0082         1.0033  0.9364/0.9967              -
CMS_scale_j_BBEC1 lnN                                                 1.0604         1.0601         1.0631         1.0602  0.9899/1.0522         1.0041         1.0023         1.0097         1.0082         1.0033         0.9967              -
CMS_scale_j_BBEC1_2016 lnN                                            1.0591         1.0550         1.0580         1.0561         1.0522         1.0050         1.0004         1.0097         1.0082         1.0033         0.9967              -
CMS_scale_j_BBEC1_2016APV lnN                                         1.0591         1.0601         1.0580         1.0566  1.0365/1.0700         1.0052         1.0010         1.0097         1.0082         1.0033         0.9967              -
CMS_scale_j_BBEC1_2017 lnN                                            1.0586         1.0611         1.0580         1.0588  1.0406/1.0522         1.0019         1.0054         1.0097         1.0082         1.0033         0.9967              -
CMS_scale_j_BBEC1_2018 lnN                                            1.0588         1.0550         1.0604         1.0561  1.0015/1.0522         1.0050         1.0043         1.0097         1.0082         1.0033         0.9967              -
CMS_scale_j_EC2 lnN                                                   1.0587         1.0611         1.0607         1.0589         1.0522         1.0014         1.0000         1.0097         1.0082         1.0033         0.9967              -
CMS_scale_j_EC2_2016 lnN                                              1.0566         1.0550         1.0580         1.0561         1.0522         1.0050         1.0002         1.0097         1.0082         1.0033         0.9967              -
CMS_scale_j_EC2_2016APV lnN                                           1.0566         1.0601         1.0580         1.0574         1.0522         1.0050         1.0002         1.0097         1.0082         1.0033         0.9967              -
CMS_scale_j_EC2_2017 lnN                                              1.0595         1.0550         1.0598         1.0589         1.0522         1.0019         1.0000         1.0097         1.0082         1.0033         0.9967              -
CMS_scale_j_EC2_2018 lnN                                              1.0588         1.0550         1.0580         1.0561  1.0015/1.0522         1.0050         0.9998         1.0097         1.0082         1.0033         0.9967              -
CMS_scale_j_FlavQCD lnN                                        1.0521/1.0717  1.0455/1.0601  1.0544/1.0665  1.0509/1.0646  1.0015/1.0406  0.9903/1.0109  0.9910/1.0043         1.0097  0.9954/1.0082         1.0131  0.9364/0.9967              -
CMS_scale_j_HF lnN                                                    1.0611  1.0550/1.0663         1.0580         1.0574  1.0015/1.0522         1.0019         1.0032         1.0097         1.0082         1.0033         0.9967              -
CMS_scale_j_HF_2016 lnN                                               1.0563         1.0550         1.0580         1.0561         1.0522         1.0050         1.0000         1.0097         1.0082         1.0033         0.9967              -
CMS_scale_j_HF_2016APV lnN                                            1.0563         1.0550         1.0580         1.0561         1.0522         1.0050         1.0000         1.0097         1.0082         1.0033         0.9967              -
CMS_scale_j_HF_2017 lnN                                               1.0563         1.0550         1.0580         1.0561         1.0522         1.0050         1.0000         1.0097         1.0082         1.0033         0.9967              -
CMS_scale_j_HF_2018 lnN                                               1.0588         1.0550         1.0580         1.0561  1.0015/1.0522         1.0050         1.0000         1.0097         1.0082         1.0033         0.9967              -
CMS_scale_j_RelBal lnN                                         1.0486/1.0677  1.0550/1.0724         1.0642         1.0617  1.0194/1.0406  0.9896/1.0060         1.0035         1.0097  0.9954/1.0211  0.9809/1.0033  0.9364/1.0421              -
CMS_scale_j_RelSample_2016 lnN                                        1.0593         1.0550         1.0580         1.0583         1.0522         1.0060         1.0034         1.0097  0.9954/1.0082         1.0033         0.9967              -
CMS_scale_j_RelSample_2016APV lnN                                     1.0607  1.0455/1.0601         1.0595         1.0596  1.0365/1.0522         1.0061  0.9934/1.0046         1.0097  0.9954/1.0082         1.0033         0.9967              -
CMS_scale_j_RelSample_2017 lnN                                        1.0573         1.0611         1.0601         1.0589  1.0406/1.0522         0.9988         1.0035         1.0097  1.0074/1.0341         1.0033         0.9967              -
CMS_scale_j_RelSample_2018 lnN                                        1.0563         1.0550         1.0634  1.0482/1.0628  1.0015/1.0522         1.0054         1.0044         1.0097  0.9261/1.0135         1.0033  0.9364/1.0421              -
PDF_WH_ACCEPT_CMS_HWW_boosted shape                                        -              -         1.0000              -              -              -              -              -              -              -              -              -
PDF_ZH_ACCEPT_CMS_HWW_boosted shape                                        -              -              -         1.0000              -              -              -              -              -              -              -              -
PDF_ggH_ACCEPT_CMS_HWW_boosted shape                                  1.0000              -              -              -              -              -              -              -              -              -              -              -
PDF_qqH_ACCEPT_CMS_HWW_boosted shape                                       -         1.0000              -              -              -              -              -              -              -              -              -              -
PDF_ttH_ACCEPT_CMS_HWW_boosted shape                                       -              -              -              -         1.0000              -              -              -              -              -              -              -
PDF_ttbar_ACCEPT_CMS_HWW_boosted shape                                     -              -              -              -              -         1.0000              -              -              -              -              -              -
QCDscale_WH lnN                                                            -              -  0.9930/1.0050              -              -              -              -              -              -              -              -              -
QCDscale_WH_ACCEPT_CMS_HWW_boosted shape                                   -              -         1.0000              -              -              -              -              -              -              -              -              -
QCDscale_ZH lnN                                                            -              -              -  0.9700/1.0380              -              -              -              -              -              -              -              -
QCDscale_ZH_ACCEPT_CMS_HWW_boosted shape                                   -              -              -         1.0000              -              -              -              -              -              -              -              -
QCDscale_ggH lnN                                                      1.0390              -              -              -              -              -              -              -              -              -              -              -
QCDscale_ggH_ACCEPT_CMS_HWW_boosted shape                             1.0000              -              -              -              -              -              -              -              -              -              -              -
QCDscale_qqH lnN                                                           -  0.9970/1.0040              -              -              -              -              -              -              -              -              -              -
QCDscale_qqH_ACCEPT_CMS_HWW_boosted shape                                  -         1.0000              -              -              -              -              -              -              -              -              -              -
QCDscale_singletop_ACCEPT_CMS_HWW_boosted shape                            -              -              -              -              -              -              -         1.0000              -              -              -              -
QCDscale_ttH lnN                                                           -              -              -              -  0.9080/1.0580              -              -              -              -              -              -              -
QCDscale_ttH_ACCEPT_CMS_HWW_boosted shape                                  -              -              -              -         1.0000              -              -              -              -              -              -              -
alpha_s lnN                                                           1.0260         1.0050         1.0090         1.0090         1.0200              -              -              -              -              -              -              -
lumi_13TeV_1718 lnN                                                   1.0027         1.0027         1.0027         1.0027         1.0027         1.0027         1.0027         1.0027         1.0027         1.0027         1.0027              -
lumi_13TeV_2016 lnN                                                   1.0026         1.0026         1.0026         1.0026         1.0026         1.0026         1.0026         1.0026         1.0026         1.0026         1.0026              -
lumi_13TeV_2017 lnN                                                   1.0060         1.0060         1.0060         1.0060         1.0060         1.0060         1.0060         1.0060         1.0060         1.0060         1.0060              -
lumi_13TeV_2018 lnN                                                   1.0065         1.0065         1.0065         1.0065         1.0065         1.0065         1.0065         1.0065         1.0065         1.0065         1.0065              -
lumi_13TeV_correlated lnN                                             1.0130         1.0130         1.0130         1.0130         1.0130         1.0130         1.0130         1.0130         1.0130         1.0130         1.0130              -
pdf_Higgs_WH lnN                                                           -              -         1.0170              -              -              -              -              -              -              -              -              -
pdf_Higgs_ZH lnN                                                           -              -              -         1.0130              -              -              -              -              -              -              -              -
pdf_Higgs_ggH lnN                                                     1.0190              -              -              -              -              -              -              -              -              -              -              -
pdf_Higgs_qqH lnN                                                          -         1.0210              -              -              -              -              -              -              -              -              -              -
pdf_Higgs_ttH lnN                                                          -              -              -              -         1.0300              -              -              -              -              -              -              -
ps_fsr_WH shape                                                            -              -         1.0000              -              -              -              -              -              -              -              -              -
ps_fsr_ZH shape                                                            -              -              -         1.0000              -              -              -              -              -              -              -              -
ps_fsr_ggH shape                                                      1.0000              -              -              -              -              -              -              -              -              -              -              -
ps_fsr_qqH shape                                                           -         1.0000              -              -              -              -              -              -              -              -              -              -
ps_fsr_singletop lnN                                                       -              -              -              -              -              -              -  0.8498/0.9768              -              -              -              -
ps_fsr_ttH shape                                                           -              -              -              -         1.0000              -              -              -              -              -              -              -
ps_fsr_ttbar lnN                                                           -              -              -              -              -  0.9135/1.0631              -              -              -              -              -              -
ps_fsr_wjets lnN                                                           -              -              -              -              -              -         1.0000              -              -              -              -              -
ps_isr_WH shape                                                            -              -         1.0000              -              -              -              -              -              -              -              -              -
ps_isr_ZH shape                                                            -              -              -         1.0000              -              -              -              -              -              -              -              -
ps_isr_ggH shape                                                      1.0000              -              -              -              -              -              -              -              -              -              -              -
ps_isr_qqH shape                                                           -         1.0000              -              -              -              -              -              -              -              -              -              -
ps_isr_singletop shape                                                     -              -              -              -              -              -              -         1.0000              -              -              -              -
ps_isr_ttH shape                                                           -              -              -              -         1.0000              -              -              -              -              -              -              -
ps_isr_ttbar shape                                                         -              -              -              -              -         1.0000              -              -              -              -              -              -
ps_isr_wjets shape                                                         -              -              -              -              -              -         1.0000              -              -              -              -              -
unclustered_Energy lnN                                                1.0650         1.0633         1.0655         1.0524  0.9746/1.0237         1.0016         0.9977         1.0102  0.9336/1.0165  0.9754/1.0032  0.9967/1.0421              -
ttbarnormSF extArg testModel.root:testModel
wjetsnormSF extArg testModel.root:testModel
ttbarnormSF_effect_ggFpt500toInf_ttbar rateParam ggFpt500toInf ttbar (1*@0) ttbarnormSF
wjetsnormSF_effect_ggFpt500toInf_wjets rateParam ggFpt500toInf wjets (1*@0) wjetsnormSF
