# Datacard for <Channel (TopCR) instance at 0x7fee17479700> generated on 2024-06-04 09:19:10.199014
imax 1 # number of categories ('bins' but here we are using shape templates)
jmax 12 # number of samples minus 1
kmax 97 # number of nuisance parameters
shapes * TopCR testModel.root testModel:TopCR_$PROCESS testModel:TopCR_$PROCESS_$SYSTEMATIC
bin TopCR
observation 5598.000
bin                                                  TopCR          TopCR          TopCR          TopCR          TopCR          TopCR          TopCR          TopCR          TopCR          TopCR          TopCR          TopCR          TopCR
process                                                ggF            VBF             WH             ZH            ttH          ttbar          wjets      singletop          zjets           wzqq        diboson       ewkvjets           fake
process                                                 -4             -3             -2             -1              0              1              2              3              4              5              6              7              8
TopCR_wzqq_mcstat lnN                                    -              -              -              -              -              -              -              -              -         1.4397              -              -              -
TopCR_zjets_mcstat lnN                                   -              -              -              -              -              -              -              -         1.3000              -              -              -              -
alpha_s lnN                                         1.0260         1.0050         1.0090         1.0090         1.0200              -              -              -              -              -              -              -              -
miniisolation_SF lnN                         0.9800/1.0200  0.9800/1.0200  0.9800/1.0200  0.9800/1.0200  0.9800/1.0200  0.9800/1.0200  0.9800/1.0200  0.9800/1.0200  0.9800/1.0200  0.9800/1.0200  0.9800/1.0200  0.9800/1.0200  0.9800/1.0200
pdf_Higgs_gg lnN                                    1.0190              -              -              -              -              -              -              -              -              -              -              -              -
pdf_Higgs_qqHH lnN                                       -  0.9790/1.0210              -              -              -              -              -              -              -              -              -              -              -
pdf_Higgs_qqbar lnN                                      -              -         1.0170         1.0130              -              -              -              -              -              -              -              -              -
pdf_Higgs_ttH lnN                                        -              -              -              -         1.0300              -              -              -              -              -              -              -              -
ps_fsr shape                                        1.0000         1.0000              -              -              -              -              -              -              -              -              -              -              -
ps_isr shape                                        1.0000         1.0000              -              -              -              -              -              -              -              -              -              -              -
taggereff lnN                                       1.2700         1.2700         1.2700         1.2700         1.2700              -              -              -              -              -              -              -              -
ttbarnormSF extArg testModel.root:testModel
ttbarnormSF_effect_TopCR_ttbar rateParam TopCR ttbar (1*@0) ttbarnormSF
