# Datacard for <Channel (VBF) instance at 0x7fcd387a5640> generated on 2024-10-14 10:09:28.085226
imax 1 # number of categories ('bins' but here we are using shape templates)
jmax 12 # number of samples minus 1
kmax 136 # number of nuisance parameters
shapes * VBF testModel.root testModel:VBF_$PROCESS testModel:VBF_$PROCESS_$SYSTEMATIC
bin VBF
observation 60.000
bin                                                                      VBF            VBF            VBF            VBF            VBF            VBF            VBF            VBF            VBF            VBF            VBF            VBF     VBF
process                                                              ggH_hww        qqH_hww         WH_hww         ZH_hww        ttH_hww          ttbar          wjets      singletop          zjets           wzqq        diboson       ewkvjets    fake
process                                                                   -4             -3             -2             -1              0              1              2              3              4              5              6              7       8
CMS_HWW_boosted_taggereff lnN                                         1.2700         1.2700         1.2700         1.2700         1.2700              -              -              -              -              -              -              -       -
CMS_l1_ecal_prefiring_2016 shape                                      1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000       -
CMS_l1_ecal_prefiring_2016APV shape                                   1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000       -
CMS_l1_ecal_prefiring_2017 shape                                      1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000       -
CMS_pileup_2016 shape                                                 1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000       -
CMS_pileup_2016APV shape                                              1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000       -
CMS_pileup_2017 shape                                                 1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000       -
CMS_pileup_2018 shape                                                 1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000       -
CMS_pileup_id shape                                                   1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000       -
CMS_res_j_2016 lnN                                                    1.0074         1.0065         1.0075         1.0065         1.0091         1.0042         1.0073         1.0024         1.0091         1.0170         0.9990         1.0086       -
CMS_res_j_2016APV lnN                                                 1.0074         1.0065         1.0075         1.0065         1.0091         1.0042         1.0073         1.0024  0.9648/1.0088         1.0170         0.9990         1.0086       -
CMS_res_j_2017 lnN                                                    1.0074         1.0077         1.0075         1.0065  0.9760/1.0091         1.0042         1.0073         1.0024  0.9574/1.0091         1.0170         0.9990         1.0086       -
CMS_res_j_2018 lnN                                                    1.0074         1.0065         1.0075         1.0065         1.0091  0.9938/1.0042         1.0073         1.0024         1.0091         1.0170         0.9990         1.0086       -
CMS_scale_j_Abs lnN                                                   1.0074         1.0077         1.0075         1.0065         1.0091         1.0042         1.0073         1.0024         1.0091         1.0170         0.9990         1.0086       -
CMS_scale_j_Abs_2016 lnN                                              1.0074         1.0065         1.0075         1.0065         1.0091         1.0042         1.0073         1.0024         1.0091         1.0170         0.9990         1.0086       -
CMS_scale_j_Abs_2016APV lnN                                           1.0074         1.0065         1.0075         1.0065         1.0091         1.0042         1.0073         1.0024         1.0091         1.0170         0.9990         1.0086       -
CMS_scale_j_Abs_2017 lnN                                              1.0074         1.0065         1.0075         1.0065         1.0091         1.0042         1.0073         1.0024         1.0091         1.0170         0.9990         1.0086       -
CMS_scale_j_Abs_2018 lnN                                              1.0074         1.0065         1.0075         1.0065         1.0091         1.0042         1.0073         1.0024         1.0091         1.0170         0.9990         1.0086       -
CMS_scale_j_BBEC1 lnN                                                 1.0074         1.0065         1.0075         1.0065         1.0091         1.0042         1.0073         1.0024         1.0091         1.0170         0.9990         1.0086       -
CMS_scale_j_BBEC1_2016 lnN                                            1.0074         1.0065         1.0075         1.0065         1.0091         1.0042         1.0073         1.0024         1.0091         1.0170         0.9990         1.0086       -
CMS_scale_j_BBEC1_2016APV lnN                                         1.0074         1.0065         1.0075         1.0065         1.0091         1.0042         1.0073         1.0024         1.0091         1.0170         0.9990         1.0086       -
CMS_scale_j_BBEC1_2017 lnN                                            1.0074         1.0065         1.0075         1.0065         1.0091         1.0042         1.0073         1.0024         1.0091         1.0170         0.9990         1.0086       -
CMS_scale_j_BBEC1_2018 lnN                                            1.0074         1.0065         1.0075         1.0065         1.0091         1.0042         1.0073         1.0024         1.0091         1.0170         0.9990         1.0086       -
CMS_scale_j_EC2 lnN                                                   1.0074         1.0065         1.0075         1.0065  0.9760/1.0091         1.0042         1.0073         1.0024         1.0091         1.0170         0.9990         1.0086       -
CMS_scale_j_EC2_2016 lnN                                              1.0074         1.0065         1.0075         1.0065         1.0091         1.0042         1.0073         1.0024         1.0091         1.0170         0.9990         1.0086       -
CMS_scale_j_EC2_2016APV lnN                                           1.0074         1.0065         1.0075         1.0065         1.0091         1.0042         1.0073         1.0024         1.0091         1.0170         0.9990         1.0086       -
CMS_scale_j_EC2_2017 lnN                                              1.0074         1.0065         1.0075         1.0065  0.9760/1.0091         1.0042         1.0073         1.0024         1.0091         1.0170         0.9990         1.0086       -
CMS_scale_j_EC2_2018 lnN                                              1.0074         1.0065         1.0075         1.0065         1.0091         1.0042         1.0073         1.0024         1.0091         1.0170         0.9990         1.0086       -
CMS_scale_j_FlavQCD lnN                                               1.0074         1.0065         1.0075         1.0065         1.0091         1.0042         1.0073         1.0024         1.0091         1.0170         0.9990         1.0086       -
CMS_scale_j_HF lnN                                                    1.0074         1.0065         1.0075         1.0065         1.0091         1.0042         1.0073         1.0024         1.0091         1.0170         0.9990         1.0086       -
CMS_scale_j_HF_2016 lnN                                               1.0074         1.0065         1.0075         1.0065         1.0091         1.0042         1.0073         1.0024         1.0091         1.0170         0.9990         1.0086       -
CMS_scale_j_HF_2016APV lnN                                            1.0074         1.0065         1.0075         1.0065         1.0091         1.0042         1.0073         1.0024         1.0091         1.0170         0.9990         1.0086       -
CMS_scale_j_HF_2017 lnN                                               1.0074         1.0065         1.0075         1.0065         1.0091         1.0042         1.0073         1.0024         1.0091         1.0170         0.9990         1.0086       -
CMS_scale_j_HF_2018 lnN                                               1.0074         1.0065         1.0075         1.0065         1.0091         1.0042         1.0073         1.0024         1.0091         1.0170         0.9990         1.0086       -
CMS_scale_j_RelBal lnN                                                1.0074         1.0077         1.0075         1.0065  0.9760/1.0091         1.0042         1.0073         1.0024  0.9648/1.0091         1.0170         0.9990         1.0086       -
CMS_scale_j_RelSample_2016 lnN                                        1.0074         1.0065         1.0075         1.0065         1.0091         1.0042         1.0073         1.0024         1.0091         1.0170         0.9990         1.0086       -
CMS_scale_j_RelSample_2016APV lnN                                     1.0074         1.0065         1.0075         1.0065         1.0091         1.0042         1.0073         1.0024  0.9648/1.0088         1.0170         0.9990         1.0086       -
CMS_scale_j_RelSample_2017 lnN                                        1.0074         1.0077         1.0075         1.0065         1.0091         1.0042         1.0073         1.0024  0.9579/1.0091         1.0170         0.9990         1.0086       -
CMS_scale_j_RelSample_2018 lnN                                        1.0074         1.0065         1.0075         1.0065         1.0091  0.9938/1.0042         1.0077         1.0024         1.0091         1.0170         0.9990         1.0086       -
PDF_WH_ACCEPT_CMS_HWW_boosted shape                                        -              -         1.0000              -              -              -              -              -              -              -              -              -       -
PDF_ZH_ACCEPT_CMS_HWW_boosted shape                                        -              -              -         1.0000              -              -              -              -              -              -              -              -       -
PDF_ggH_ACCEPT_CMS_HWW_boosted shape                                  1.0000              -              -              -              -              -              -              -              -              -              -              -       -
PDF_qqH_ACCEPT_CMS_HWW_boosted shape                                       -         1.0000              -              -              -              -              -              -              -              -              -              -       -
PDF_ttH_ACCEPT_CMS_HWW_boosted shape                                       -              -              -              -         1.0000              -              -              -              -              -              -              -       -
PDF_ttbar_ACCEPT_CMS_HWW_boosted shape                                     -              -              -              -              -         1.0000              -              -              -              -              -              -       -
PDF_wjets_ACCEPT_CMS_HWW_boosted shape                                     -              -              -              -              -              -         1.0000              -              -              -              -              -       -
QCDscale_WH lnN                                                            -              -  0.9930/1.0050              -              -              -              -              -              -              -              -              -       -
QCDscale_WH_ACCEPT_CMS_HWW_boosted shape                                   -              -         1.0000              -              -              -              -              -              -              -              -              -       -
QCDscale_ZH lnN                                                            -              -              -  0.9700/1.0380              -              -              -              -              -              -              -              -       -
QCDscale_ZH_ACCEPT_CMS_HWW_boosted shape                                   -              -              -         1.0000              -              -              -              -              -              -              -              -       -
QCDscale_ggH lnN                                                      1.0390              -              -              -              -              -              -              -              -              -              -              -       -
QCDscale_ggH_ACCEPT_CMS_HWW_boosted shape                             1.0000              -              -              -              -              -              -              -              -              -              -              -       -
QCDscale_qqH lnN                                                           -  0.9970/1.0040              -              -              -              -              -              -              -              -              -              -       -
QCDscale_qqH_ACCEPT_CMS_HWW_boosted shape                                  -         1.0000              -              -              -              -              -              -              -              -              -              -       -
QCDscale_singletop_ACCEPT_CMS_HWW_boosted shape                            -              -              -              -              -              -              -         1.0000              -              -              -              -       -
QCDscale_ttH lnN                                                           -              -              -              -  0.9080/1.0580              -              -              -              -              -              -              -       -
QCDscale_ttH_ACCEPT_CMS_HWW_boosted shape                                  -              -              -              -         1.0000              -              -              -              -              -              -              -       -
